time,axis,target,baseline,damped,baseline_v,damped_v
0,0,1.25415,1.27661,1.27661,-2.618e-05,-2.618e-05
0,1,-0.359857,-0.378233,-0.378233,2.618e-05,2.618e-05
0.05,0,1.25415,1.27657,1.27658,-0.00172788,-0.00172788
0.05,1,-0.359857,-0.378196,-0.3782,0.00172788,0.00172788
0.1,0,1.25416,1.27638,1.27639,-0.00604757,-0.00604302
0.1,1,-0.357081,-0.378001,-0.378016,0.00604757,0.00604757
0.15,0,1.25696,1.2759,1.27597,-0.0129853,-0.0106056
0.15,1,-0.357318,-0.377519,-0.377551,0.0129853,0.0129853
0.2,0,1.25509,1.27499,1.27537,-0.0225409,-0.0128077
0.2,1,-0.35654,-0.376618,-0.376705,0.0225409,0.0205085
0.25,0,1.25509,1.27356,1.27468,-0.0336151,-0.0150368
0.25,1,-0.35654,-0.375189,-0.375534,0.0332485,0.0260326
0.3,0,1.25679,1.27163,1.27389,-0.0423853,-0.0160777
0.3,1,-0.355815,-0.373272,-0.37413,0.0422806,0.0299096
0.35,0,1.25906,1.26933,1.27309,-0.0485376,-0.0158331
0.35,1,-0.35566,-0.370963,-0.372567,0.0489565,0.0323273
0.4,0,1.25754,1.26679,1.27233,-0.052229,-0.0144409
0.4,1,-0.360707,-0.368393,-0.370917,0.0530144,0.0334839
0.45,0,1.25754,1.26411,1.27162,-0.0541925,-0.0142429
0.45,1,-0.360707,-0.365692,-0.369256,0.0544543,0.032524
0.5,0,1.25589,1.2614,1.2709,-0.0542187,-0.0146163
0.5,1,-0.363032,-0.362991,-0.367708,0.0532762,0.028946
0.55,0,1.25638,1.25874,1.27016,-0.0519934,-0.0151057
0.55,1,-0.363266,-0.360421,-0.366383,0.0494801,0.0241258
0.6,0,1.25282,1.25626,1.2694,-0.0472024,-0.0151214
0.6,1,-0.363237,-0.358112,-0.365285,0.043066,0.0199095
0.65,0,1.25282,1.25404,1.26861,-0.042045,-0.0166023
0.65,1,-0.363237,-0.356197,-0.364382,0.0340339,0.0163185
0.7,0,1.24082,1.2521,1.26772,-0.0364687,-0.019424
0.7,1,-0.363938,-0.354802,-0.363651,0.022698,0.0129023
0.75,0,1.23781,1.25037,1.26663,-0.033458,-0.0248301
0.75,1,-0.366049,-0.353948,-0.363087,0.0128805,0.00949333
0.8,0,1.23363,1.24872,1.2652,-0.0330653,-0.0325922
0.8,1,-0.36742,-0.353512,-0.362708,0.00568105,0.00571663
0.85,0,1.23363,1.24701,1.26336,-0.0352906,-0.0407649
0.85,1,-0.36742,-0.353365,-0.362519,0.00109956,0.00199031
0.9,0,1.22346,1.24513,1.26114,-0.0401339,-0.0483507
0.9,1,-0.367645,-0.353384,-0.362496,-0.00164934,-0.000968614
0.95,0,1.22121,1.24293,1.25849,-0.0475951,-0.0576795
0.95,1,-0.365255,-0.353589,-0.362601,-0.00649263,-0.00295877
1,0,1.21652,1.24032,1.25541,-0.0554753,-0.0650997
1,1,-0.364143,-0.354108,-0.362757,-0.0139539,-0.00310651
1.05,0,1.21652,1.23733,1.25198,-0.0630413,-0.0714558
1.05,1,-0.364143,-0.355041,-0.362896,-0.0221482,-0.00245745
1.1,0,1.21706,1.23403,1.24831,-0.0681464,-0.0752094
1.1,1,-0.36238,-0.356314,-0.362989,-0.0277769,-0.00110057
1.15,0,1.21297,1.23053,1.2445,-0.0717331,-0.0770461
1.15,1,-0.362726,-0.357796,-0.363012,-0.0307876,5.85639e-05
1.2,0,1.21665,1.22685,1.24062,-0.0747438,-0.0776284
1.2,1,-0.359802,-0.359357,-0.362987,-0.0311803,0.00100702
1.25,0,1.21665,1.22309,1.23678,-0.0751365,-0.0758455
